id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,price_lower,price_upper,price_range,price_mid
"45570","-3","-2","1","268050.64462","217311.210411","0","485300.839517","485361.855031","3833.098325987618","0.57","6.93","0.9997","0.9998","0.0001","0.9998"
"45115","-3","-2","1","250000","0","0","249937.510935","250000","2003.3355110039943","0.58","7.01","0.9997","0.9998","0.0001","0.9998"
"45121","-3","-2","1","250000","0","0","249937.510935","250000","2003.3355110039943","0.58","7.01","0.9997","0.9998","0.0001","0.9998"
"168619","2","3","1","396919.760361","1160763.65393","1557408.036705","0","1557683.414291","1591.1012508819895","0.11","1.39","1.0002","1.0003","0.0001","1.0003"
"45513","-3","-2","1","142967.284623","89288.197202","81664.379445","150575.907878","232255.48182500002","1454.3479511237788","0.45","5.50","0.9997","0.9998","0.0001","0.9998"
"134455","12","13","1","664182.046335","2040005.424202","2610334.708512","91440.711728","2704187.470537","1224.3247819818178","0.04","0.54","1.0012","1.0013","0.0001","1.0013"
"45383","-3","-2","1","147334.518023","0","0","147297.690838","147334.518023","1180.6418878085356","0.58","7.03","0.9997","0.9998","0.0001","0.9998"
"45459","-3","-2","1","107219.319911","22556.949073","0","129750.400585","129776.268984","1032.658833895402","0.57","6.98","0.9997","0.9998","0.0001","0.9998"
"73615","1","2","1","365340.306768","159446.712854","524768.652329","0","524787.019622","1027.6135775036114","0.16","1.96","1.0001","1.0002","0.0001","1.0002"
"206116","2","3","1","1345930.981008","213600.94901","1559487.74166","0","1559531.930018","989.3145835334246","0.08","1.00","1.0002","1.0003","0.0001","1.0003"
"45858","-3","-2","1","54529.069137","58243.933859","0","112760.781012","112773.002996","873.0375021526519","0.56","6.81","0.9997","0.9998","0.0001","0.9998"
"162731","1","2","1","1061857.577591","494988.933787","0","1557021.087003","1556846.511378","843.5399191148092","0.06","0.72","1.0001","1.0002","0.0001","1.0002"
"102835","1","2","1","543818.693906","848604.147274","1392312.136244","0","1392422.84118","832.8548112927568","0.05","0.65","1.0001","1.0002","0.0001","1.0002"
"39388","-3","-2","1","69999.999997","15432.734317","0","85415.869573","85432.734314","823.1269173454664","0.67","8.18","0.9997","0.9998","0.0001","0.9998"
"45465","-3","-2","1","70558.092231","31515.053298","0","102056.598208","102073.145529","811.8647247478508","0.57","6.98","0.9997","0.9998","0.0001","0.9998"
"151001","9","10","1","1292908.417627","162185.172507","1454946.535407","0","1455093.590134","801.8134330585023","0.06","0.70","1.0009","1.0010","0.0001","1.0010"
"42861","-5","1","6","245789.440548","50742.5892","0","296495.497378","296532.02974800003","798.3929064772277","0.19","2.33","0.9995","1.0001","0.0006","0.9998"
"39394","-3","-2","1","398204.207007","87309.407869","485539.024885","0","485513.614876","781.6506716343567","0.11","1.37","0.9997","0.9998","0.0001","0.9998"
"90947","-4","-3","1","475709.911628","558371.802771","0","1033928.093901","1034081.7143989999","768.5843757999019","0.06","0.78","0.9996","0.9997","0.0001","0.9997"
"134567","12","13","1","221714.39394","1234232.047363","1454413.000296","0","1455946.441303","762.5041260780229","0.05","0.63","1.0012","1.0013","0.0001","1.0013"
"196069","5","6","1","408404.890398","1151203.394064","1558990.386792","0","1559608.2844620002","759.8239948623735","0.06","0.74","1.0005","1.0006","0.0001","1.0006"
"39435","-3","-2","1","411781.917617","49980.625129","461777.267808","0","461762.542746","721.551540806098","0.11","1.33","0.9997","0.9998","0.0001","0.9998"
"183887","1","2","1","1492529.414727","66909.212133","0","1559665.711452","1559438.62686","702.7456272380795","0.05","0.65","1.0001","1.0002","0.0001","1.0002"
"100857","1","2","1","506696.671243","463693.355275","970331.337354","0","970390.026518","647.7704384457675","0.06","0.72","1.0001","1.0002","0.0001","1.0002"
"53396","-3","-2","1","51525.105823","114958.437167","0","166472.442525","166483.54299","618.3306711570538","0.28","3.44","0.9997","0.9998","0.0001","0.9998"
"113032","-3","-2","1","130020.518134","949786.488091","131007.619683","948799.595857","1079807.006225","611.0925635543924","0.05","0.64","0.9997","0.9998","0.0001","0.9998"
"120614","-2","-1","1","991978.221249","1111496.863025","0","2103352.510809","2103475.084274","575.2398545818342","0.03","0.32","0.9998","0.9999","0.0001","0.9999"
"191936","5","6","1","342600.275797","260422.275674","488209.425839","114737.937731","603022.551471","563.8281452908394","0.11","1.40","1.0005","1.0006","0.0001","1.0006"
"91039","-4","-3","1","403427.839919","364262.256739","0","767558.496739","767690.096658","559.3509655074772","0.06","0.76","0.9996","0.9997","0.0001","0.9997"
"39429","-3","-2","1","306858.380587","49980.807613","356853.833745","0","356839.1882","559.2153604722207","0.11","1.33","0.9997","0.9998","0.0001","0.9998"
"43008","-5","-4","1","179963.998731","17185.726503","0","197069.548027","197149.725234","533.2563592591773","0.19","2.34","0.9995","0.9996","0.0001","0.9996"
"113070","-3","-2","1","389196.275207","582226.813864","0","971337.467443","971423.089071","512.2814345623806","0.05","0.59","0.9997","0.9998","0.0001","0.9998"
"143123","10","13","3","481860.197114","2108988.405038","1468863.87799","1120812.554486","2590848.602152","490.1878540989473","0.02","0.23","1.0010","1.0013","0.0003","1.0012"
"147085","11","12","1","1984715.729565","926112.52535","2909795.284009","0","2910828.254915","484.7417903945743","0.02","0.21","1.0011","1.0012","0.0001","1.0012"
"101257","1","2","1","268118.413672","282103.575215","550186.467631","0","550221.988887","464.7712374691053","0.07","0.91","1.0001","1.0002","0.0001","1.0002"
"144396","11","12","1","65966.77947","702085.257872","461871.879761","305718.389422","768052.0373419999","462.8389973827932","0.06","0.75","1.0011","1.0012","0.0001","1.0012"
"72773","0","5","5","1085915.048205","298837.096389","1384736.025425","0","1384752.1445940002","450.0115250025975","0.03","0.33","1.0000","1.0005","0.0005","1.0003"
"45394","-3","-2","1","52812.260447","2896.212956","0","55695.409924","55708.473403","446.0915312398285","0.58","7.02","0.9997","0.9998","0.0001","0.9998"
"45951","-3","-2","1","25647.392051","30448.587342","0","56090.264609","56095.979393","430.6396862781098","0.56","6.76","0.9997","0.9998","0.0001","0.9998"
"110075","-1","0","1","530428.773736","440417.779873","970879.482642","0","970846.5536089999","426.2880976280238","0.04","0.49","0.9999","1.0000","0.0001","1.0000"
"168328","2","3","1","232472.099659","167605.336149","9283.739693","390853.335374","400077.43580800004","422.5527502294806","0.12","1.44","1.0002","1.0003","0.0001","1.0003"
"59932","-3","-2","1","78932.993201","221711.908256","0","300628.081497","300644.901457","405.7054146534254","0.11","1.29","0.9997","0.9998","0.0001","0.9998"
"44342","-5","-4","1","462905.724874","22626.083841","0","485324.636943","485531.808715","405.3387991647221","0.06","0.73","0.9995","0.9996","0.0001","0.9996"
"100858","1","2","1","141520.011319","298784.026975","440264.020663","0","440304.03829399997","403.9868886464811","0.08","0.98","1.0001","1.0002","0.0001","1.0002"
"92427","-4","-3","1","319780.459354","394998.658246","0","714676.053374","714779.1176","393.37876233740394","0.05","0.58","0.9996","0.9997","0.0001","0.9997"
"102784","1","2","1","351668.975476","294952.706455","646585.464187","0","646621.681931","391.33691291437674","0.05","0.65","1.0001","1.0002","0.0001","1.0002"
"168349","2","3","1","172308.635169","267711.459138","377949.314882","62023.595503","440020.09430699993","379.8650741108399","0.10","1.18","1.0002","1.0003","0.0001","1.0003"
"134713","12","13","1","249659.11623","245572.769108","494931.312323","0","495231.885338","375.84762461282696","0.07","0.91","1.0012","1.0013","0.0001","1.0013"
"91357","-4","-3","1","293758.035678","258639.548821","21053.088031","531255.339824","552397.584499","370.76827516993865","0.06","0.70","0.9996","0.9997","0.0001","0.9997"
"120645","-2","-1","1","549453.866524","905350.165698","0","1454738.275688","1454804.032222","363.40584595604764","0.02","0.29","0.9998","0.9999","0.0001","0.9999"
