id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_est_30d	price_lower	price_upper	price_range	price_mid
294455.0	-2.0	-1.0	1.0	15474.4	85512.1	0.0	100985.0	100987.0	-1.66616	-0.0200736	0.9998	0.9999	9.998e-05	0.99985
294501.0	-2.0	-1.0	1.0	6316.03	30000.0	0.0	36315.3	36316.0	-0.686451	-0.0229976	0.9998	0.9999	9.998e-05	0.99985
294630.0	-3.0	2.0	5.0	3948.1	2267.8	0.0	6216.06	6215.9	0.162713	0.0318486	0.9997	1.0002	0.00049995	0.99995
294647.0	-2.0	0.0	2.0	626.736	439.356	0.0	202.55	1066.09	-863.542	-985.508	0.9998	1.0	0.00019997	0.9999
294898.0	-2.0	-1.0	1.0	1137.8	5759.68	0.0	6897.36	6897.48	-0.123152	-0.0217231	0.9998	0.9999	9.998e-05	0.99985
294927.0	-2.0	-1.0	1.0	7473.1	34323.1	0.0	41795.3	41796.2	-0.814028	-0.023696	0.9998	0.9999	9.998e-05	0.99985
294929.0	-2.0	-1.0	1.0	187.199	859.681	0.0	1046.86	1046.88	-0.020392	-0.0236992	0.9998	0.9999	9.998e-05	0.99985
295325.0	-3.0	-1.0	2.0	79.9373	822.903	82.828	820.013	902.841	0.00034	0.000458183	0.9997	0.9999	0.00019995	0.9998
295623.0	-3.0	2.0	5.0	8760.9	4999.4	0.0	0.0	13760.3	-13760.3	-1216.67	0.9997	1.0002	0.00049995	0.99995
295697.0	-3.0	2.0	5.0	963.258	549.608	0.0	0.0	1512.87	-1512.87	-1216.67	0.9997	1.0002	0.00049995	0.99995
296216.0	-2.0	0.0	2.0	439.155	401.007	0.0	0.0	840.163	-840.163	-1216.67	0.9998	1.0	0.00019997	0.9999
296488.0	-3.0	0.0	3.0	11345.5	20997.2	0.0	32342.1	32342.7	-0.596889	-0.0224538	0.9997	1.0	0.00029994	0.99985
297246.0	-2.0	0.0	2.0	855.0	780.597	0.0	1635.55	1635.6	-0.04469	-0.0332434	0.9998	1.0	0.00019997	0.9999
297419.0	-3.0	2.0	5.0	59.232	37.996	26.9355	70.2918	97.228	-0.000698	-0.00873445	0.9997	1.0002	0.00049995	0.99995
297585.0	-2.0	0.0	2.0	4750.26	4317.23	0.0	9067.24	9067.49	-0.248825	-0.0333871	0.9998	1.0	0.00019997	0.9999
297603.0	-3.0	0.0	3.0	448.279	834.961	0.0	1283.22	1283.24	-0.023487	-0.0222685	0.9997	1.0	0.00029994	0.99985
298254.0	-2.0	0.0	2.0	501.547	461.334	0.0	962.856	962.882	-0.026122	-0.0330069	0.9998	1.0	0.00019997	0.9999
299245.0	-3.0	3.0	6.0	1770.42	862.209	0.0	0.0	2632.63	-2632.63	-1216.67	0.9997	1.0003	0.00059997	1.0
299338.0	-1.0	3.0	4.0	5374.48	0.0	3372.14	2002.29	5374.48	-0.051041	-0.0115546	0.9999	1.0003	0.00040002	1.0001
299699.0	-3.0	2.0	5.0	2396.56	1550.48	0.0	3947.16	3947.04	0.115534	0.0356131	0.9997	1.0002	0.00049995	0.99995
299938.0	-3.0	0.0	3.0	14000.0	25802.2	0.0	39801.5	39802.2	-0.738536	-0.0225754	0.9997	1.0	0.00029994	0.99985
300239.0	-7.0	5.0	12.0	24267.9	23835.4	24267.9	23835.4	48103.3	-2e-06	-5.05856e-08	0.9993	1.0005	0.00119982	0.9999
300299.0	-2.0	0.0	2.0	24267.9	21794.7	24268.6	21794.0	46062.6	7.3e-05	1.92817e-06	0.9998	1.0	0.00019997	0.9999
300469.0	-2.0	-1.0	1.0	8.81763	181.981	0.0	190.798	190.799	-0.000903	-0.00575817	0.9998	0.9999	9.998e-05	0.99985
300666.0	-1.0	0.0	1.0	8057.04	2634.84	0.0	10691.6	10691.9	-0.303551	-0.0345422	0.9999	1.0	9.999e-05	0.99995
300669.0	-1.0	0.0	1.0	9701.95	3782.46	0.0	13484.1	13484.4	-0.348996	-0.0314891	0.9999	1.0	9.999e-05	0.99995
300670.0	-1.0	0.0	1.0	28040.1	10930.3	0.0	38969.4	38970.4	-1.00869	-0.0314915	0.9999	1.0	9.999e-05	0.99995
300672.0	-1.0	0.0	1.0	2888.32	2111.66	799.153	4200.77	4999.99	-0.067454	-0.0164138	0.9999	1.0	9.999e-05	0.99995
300673.0	-1.0	0.0	1.0	731.49	640.653	0.0	1372.12	1372.14	-0.019497	-0.0172878	0.9999	1.0	9.999e-05	0.99995
300674.0	-1.0	0.0	1.0	25520.4	24679.6	0.0	50199.4	50200.1	-0.661659	-0.0160362	0.9999	1.0	9.999e-05	0.99995
300727.0	-3.0	0.0	3.0	2132.0	9866.14	0.0	11998.1	11998.1	-0.056819	-0.00576171	0.9997	1.0	0.00029994	0.99985
300735.0	-1.0	0.0	1.0	553.961	488.0	0.0	1041.95	1041.96	-0.014725	-0.0171939	0.9999	1.0	9.999e-05	0.99995
300773.0	-1.0	0.0	1.0	608.971	540.0	0.0	1148.95	1148.97	-0.016138	-0.0170888	0.9999	1.0	9.999e-05	0.99995
300821.0	-1.0	0.0	1.0	20858.7	31020.7	0.0	51879.0	51879.4	-0.41935	-0.00983452	0.9999	1.0	9.999e-05	0.99995
300833.0	-1.0	0.0	1.0	78722.7	121691.0	0.0	200412.0	200413.0	-1.56348	-0.00949155	0.9999	1.0	9.999e-05	0.99995
300865.0	-1.0	0.0	1.0	6274.41	9677.82	0.0	15952.1	15952.2	-0.124686	-0.00950972	0.9999	1.0	9.999e-05	0.99995
300893.0	-1.0	0.0	1.0	21387.0	35387.8	0.0	56774.4	56774.8	-0.409345	-0.00877214	0.9999	1.0	9.999e-05	0.99995
300906.0	-1.0	0.0	1.0	29879.0	80105.9	0.0	109985.0	109985.0	-0.406936	-0.00450157	0.9999	1.0	9.999e-05	0.99995
300911.0	-1.0	0.0	1.0	74257.2	185042.0	0.0	259298.0	259299.0	-1.06341	-0.00498968	0.9999	1.0	9.999e-05	0.99995
300917.0	-4.0	3.0	7.0	21297.9	23897.0	21996.8	23198.1	45194.9	0.024652	0.000663643	0.9996	1.0003	0.00069993	0.99995
300935.0	-1.0	0.0	1.0	2134.98	5095.05	0.0	7230.0	7230.03	-0.031527	-0.00530535	0.9999	1.0	9.999e-05	0.99995
300961.0	-1.0	0.0	1.0	2103.25	4892.48	0.0	6995.7	6995.73	-0.031615	-0.00549834	0.9999	1.0	9.999e-05	0.99995
