wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours
0xc50965e638cf07fb735d48d40c53c8e64c2add7c	1	51.75	10025.92	160932.75	13	85.54	3	84
0xb9c44251e341d45b07aff34f376ba3e092c1c174	1	47.28	235.50	25974.76	1	80.00	0	146
0xaaf66ffeb4006b20f38422221093559645554f20	2	40.09	282.33	66476.56	3	100.00	0	13
0xab03d72b3d135bfa0b48bd544bc981dc2d66b9dd	1	38.53	221.21	34773.91	3	62.00	0	24
0xe000b8ed0e86cdf9b136b92fe47fe6d3d6d5e1be	1	28.19	309.67	59536.09	2	99.50	0	51
0xfef45b3e915f953ce386dc1db9a18b7680a9ee72	2	26.15	140.45	24586.06	4	85.50	0	38
0x06092040f47059c8b78b2da82dfb5f8f34d731f2	3	23.23	291.55	76337.89	1	92.00	0	128
0x5957145fab56dfe5af988a4f55eda4b205922c1d	1	22.53	141.06	19728.18	11	63.00	0	26
0x1d098a8d7fa63a39e0884b720f86f9ba8cbbeef1	1	21.24	504.26	69694.48	14	57.57	1	20
0x3352cfe4b92b354c9e56382a6fc6d7462fea9ba2	1	20.28	257.09	15979.72	17	84.12	0	17
0xdb0e979228649de327d698b02c47e065c0a0af50	2	19.76	123.23	227652.90	1	81.00	0	10
0xca2cebc209bcde7e178cbcddf7f3bbbe1a26fbc7	1	19.34	662.41	167017.10	2	40.00	0	55
0xedfa73bbfa04473981a2f62446166e870e2fb9fc	1	18.82	135.82	17319.23	2	100.00	0	45
0x3c948a11c4d5462ace49a505ece7112531b16725	1	18.23	518.72	43821.98	23	79.17	13	7
0x5ac37964ebcbc68efb51497031ccc355a137dcc5	1	15.85	4135.34	220123.28	44	74.02	3	6
0x929fa0cc356ad34b2ab62c1519815d30e8c193fa	2	15.23	162.33	388972.51	1	61.00	0	23
0xa2d30b5c2c84f8c0e47a0dfebb3eda04a6a2ca28	5	14.41	113.19	40954.84	1	82.00	0	157
0x8ad7b990951e55130968f23d4ab5e219ad10dbcd	1	13.21	1296.07	242331.42	17	94.29	12	15
0x5388a7f24e86c9c9d855a98c2f5a339afa6a3acc	1	12.49	544.05	53846.55	10	83.60	13	18
0x37a9a5cc504c42d2ace5c8300f21602db57691d5	1	12.40	4000.07	473149.02	20	86.45	1	13
0xedeed75328937a17749c1a59772e2ec79eb51314	1	12.28	244.57	29366.27	29	91.90	24	5
